"ID";"Código";"Descrição";"Unidade";"NCM";"Origem";"Preço";"Valor IPI fixo";"Observações";"Situação";"Estoque";"Preço de custo";"Cód no fornecedor";"Fornecedor";"Localização";"Estoque maximo";"Estoque minimo";"Peso líquido (Kg)";"Peso bruto (Kg)";"GTIN/EAN";"GTIN/EAN da embalagem";"Largura do Produto";"Altura do Produto";"Profundidade do produto";"Data Validade";"Descrição do Produto no Fornecedor";"Descrição Complementar";"Unidade por Caixa";"Produto Variação";"Tipo Produção";"Classe de enquadramento do IPI";"Código da lista de serviços";"Tipo do item";"Grupo de Tags/Tags";"Tributos";"Código Pai";"Código Integração";"Grupo de produtos";"Marca";"CEST";"Volumes";"Descrição Curta";"Cross-Docking";"URL Imagens Externas";"Link Externo";"Meses Garantia no Fornecedor";"Clonar dados do pai";"Condição do produto";"Frete Grátis";"Número FCI";"Vídeo";"Departamento";"Unidade de medida";"Preço de compra";"Valor base ICMS ST para retenção";"Valor ICMS ST para retenção";"Valor ICMS próprio do substituto";"Categoria do produto";"Informações Adicionais"
"15917464867";"CCC10-GED	";"Chave Combinada Com Catraca 10mm Gedore - 031.352";"UN";"";"0";"76,49";"0,00";"";"Ativo";"9,00";"0,00";"	";"";"";"0,00";"0,00";"1,000";"1,000";"	";"	";"10.00";"10.00";"35.00";"";"";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"	";"";"";"GEDORE";"";"0";"Chave Combinada Com Catraca 10mm Gedore - 031.352<br>";"";"	";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"15917464880";"CCC11-GED	";"Chave Combinada Com Catraca 11mm Gedore - 031.353";"UN";"";"0";"78,30";"0,00";"";"Ativo";"7,00";"0,00";"	";"";"";"0,00";"0,00";"1,000";"1,000";"	";"	";"10.00";"10.00";"35.00";"";"";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"	";"";"";"GEDORE";"";"0";"Chave Combinada Com Catraca 11mm Gedore - 031.353<br>";"";"	";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"15917452520";"75BPR26-CLICNG-39	";"Tamanho:39";"UN";"";"0";"390,88";"0,00";"";"Ativo";"2,00";"0,00";"	";"";"";"0,00";"0,00";"1.200,000";"1.200,000";"	";"	";"30.00";"14.00";"35.00";"";"";"Botina Couro Nobuck Premier Marluvas - 75BPR26 CLI CNG. Compre online os melhores calçados de segurança, Botas, Botinas das marcas: Fujiwara, Bracol, Marluvas e outras. Temos a pronta entrega. Entregamos para todo o Brasil e dividimos em até 6X sem juros.";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"	75BPR26-CLICNG";"";"";"";"";"0";" <br>- Bota ocupacional em couro (nobuck). <br>- Indicada para profissionais de áreas administrativas. <br>- Biqueira de composite leve, antimagnética, anticorrosiva e ultrarresistente. <br>- Colarinho e lingueta acolchoados em cordura bicolor. <br>- Fechamento em cadarço, com ganchos passadores em nylon rígido, livre de metais. <br>- Forração interna em tecnologia climatech (forro 3D com recobrimento em microcápsulas PCM outlast - <br>de rápida dispersão de umidade e regulação de temperatura), que se adapta ao nível de performance do <br>- Palmilha de montagem têxtil resistente à perfuração, que cobre 100% da planta dos pés. <br>- Solado em PU bidensidade, com injeção direta no cabedal, que possibilita amortecimento e absorção <br>entressola e no calcanhar. <br>- Possui sistema em TPU ANTI-TORSION, para dar maior sustentação ao tornozelo, proporcionando estabi <br>terrenos irregulares e ao subir escadas, o que evita acidentes. <br> <br>C.A. 41829 <br> <br> <br> <br> <br>";"";"	";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"15917452521";"75BPR26-CLICNG-40	";"Tamanho:40";"UN";"";"0";"390,88";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"1.200,000";"1.200,000";"	";"	";"30.00";"14.00";"35.00";"";"";"Botina Couro Nobuck Premier Marluvas - 75BPR26 CLI CNG. Compre online os melhores calçados de segurança, Botas, Botinas das marcas: Fujiwara, Bracol, Marluvas e outras. Temos a pronta entrega. Entregamos para todo o Brasil e dividimos em até 6X sem juros.";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"	75BPR26-CLICNG";"";"";"";"";"0";" <br>- Bota ocupacional em couro (nobuck). <br>- Indicada para profissionais de áreas administrativas. <br>- Biqueira de composite leve, antimagnética, anticorrosiva e ultrarresistente. <br>- Colarinho e lingueta acolchoados em cordura bicolor. <br>- Fechamento em cadarço, com ganchos passadores em nylon rígido, livre de metais. <br>- Forração interna em tecnologia climatech (forro 3D com recobrimento em microcápsulas PCM outlast - <br>de rápida dispersão de umidade e regulação de temperatura), que se adapta ao nível de performance do <br>- Palmilha de montagem têxtil resistente à perfuração, que cobre 100% da planta dos pés. <br>- Solado em PU bidensidade, com injeção direta no cabedal, que possibilita amortecimento e absorção <br>entressola e no calcanhar. <br>- Possui sistema em TPU ANTI-TORSION, para dar maior sustentação ao tornozelo, proporcionando estabi <br>terrenos irregulares e ao subir escadas, o que evita acidentes. <br> <br>C.A. 41829 <br> <br> <br> <br> <br>";"";"	";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"15917452523";"75BPR26-CLICNG-41	";"Tamanho:41";"UN";"";"0";"390,88";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"1.200,000";"1.200,000";"	";"	";"30.00";"14.00";"35.00";"";"";"Botina Couro Nobuck Premier Marluvas - 75BPR26 CLI CNG. Compre online os melhores calçados de segurança, Botas, Botinas das marcas: Fujiwara, Bracol, Marluvas e outras. Temos a pronta entrega. Entregamos para todo o Brasil e dividimos em até 6X sem juros.";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"	75BPR26-CLICNG";"";"";"";"";"0";" <br>- Bota ocupacional em couro (nobuck). <br>- Indicada para profissionais de áreas administrativas. <br>- Biqueira de composite leve, antimagnética, anticorrosiva e ultrarresistente. <br>- Colarinho e lingueta acolchoados em cordura bicolor. <br>- Fechamento em cadarço, com ganchos passadores em nylon rígido, livre de metais. <br>- Forração interna em tecnologia climatech (forro 3D com recobrimento em microcápsulas PCM outlast - <br>de rápida dispersão de umidade e regulação de temperatura), que se adapta ao nível de performance do <br>- Palmilha de montagem têxtil resistente à perfuração, que cobre 100% da planta dos pés. <br>- Solado em PU bidensidade, com injeção direta no cabedal, que possibilita amortecimento e absorção <br>entressola e no calcanhar. <br>- Possui sistema em TPU ANTI-TORSION, para dar maior sustentação ao tornozelo, proporcionando estabi <br>terrenos irregulares e ao subir escadas, o que evita acidentes. <br> <br>C.A. 41829 <br> <br> <br> <br> <br>";"";"	";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"15917464884";"CCC12-GED	";"Chave Combinada Com Catraca 12mm Gedore - 031.354";"UN";"";"0";"83,37";"0,00";"";"Ativo";"6,00";"0,00";"	";"";"";"0,00";"0,00";"1,000";"1,000";"	";"	";"10.00";"10.00";"35.00";"";"";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"	";"";"";"GEDORE";"";"0";"Chave Combinada Com Catraca 12mm Gedore - 031.354<br>";"";"	";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"15917464895";"CCC13-GED	";"Chave Combinada Com Catraca 13mm Gedore - 031.355";"UN";"";"0";"95,83";"0,00";"";"Ativo";"4,00";"0,00";"	";"";"";"0,00";"0,00";"1,000";"1,000";"	";"	";"10.00";"10.00";"35.00";"";"";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"	";"";"";"GEDORE";"";"0";"Chave Combinada Com Catraca 13mm Gedore - 031.355<br>";"";"	";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"15917464898";"CCC14-GED	";"Chave Combinada Com Catraca 14mm Gedore - 031.356";"UN";"";"0";"91,69";"0,00";"";"Ativo";"3,00";"0,00";"	";"";"";"0,00";"0,00";"1,000";"1,000";"	";"	";"10.00";"10.00";"35.00";"";"";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"	";"";"";"GEDORE";"";"0";"Chave Combinada Com Catraca 14mm Gedore - 031.356<br>";"";"	";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"15917464904";"CCC15-GED	";"Chave Combinada Com Catraca 15mm Gedore - 031.357";"UN";"";"0";"102,03";"0,00";"";"Ativo";"9,00";"0,00";"	";"";"";"0,00";"0,00";"1,000";"1,000";"	";"	";"10.00";"10.00";"35.00";"";"";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"	";"";"";"GEDORE";"";"0";"Chave Combinada Com Catraca 15mm Gedore - 031.357<br>";"";"	";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"15917464910";"CCC16-GED	";"Chave Combinada Com Catraca 16mm Gedore - 031.358";"UN";"";"0";"69,53";"0,00";"";"Ativo";"1,00";"0,00";"	";"";"";"0,00";"0,00";"1,000";"1,000";"	";"	";"10.00";"10.00";"35.00";"";"";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"	";"";"";"GEDORE";"";"0";"Chave Combinada Com Catraca 16mm Gedore - 031.358<br>";"";"	";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"15917464917";"CCC17-GED	";"Chave Combinada Com Catraca 17mm Gedore - 031.359";"UN";"";"0";"90,43";"0,00";"";"Ativo";"3,00";"0,00";"	";"";"";"0,00";"0,00";"1,000";"1,000";"	";"	";"10.00";"10.00";"35.00";"";"";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"	";"";"";"GEDORE";"";"0";"Chave Combinada Com Catraca 17mm Gedore - 031.359<br>";"";"	";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"15917464920";"CCC18-GED	";"Chave Combinada Com Catraca 18mm Gedore - 031.360";"UN";"";"0";"89,57";"0,00";"";"Ativo";"7,00";"0,00";"	";"";"";"0,00";"0,00";"1,000";"1,000";"	";"	";"10.00";"10.00";"35.00";"";"";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"	";"";"";"GEDORE";"";"0";"Chave Combinada Com Catraca 18mm Gedore - 031.360<br>";"";"	";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"15917452525";"75BPR26-CLICNG-42	";"Tamanho:42";"UN";"";"0";"458,35";"0,00";"";"Ativo";"1,00";"0,00";"	";"";"";"0,00";"0,00";"1.200,000";"1.200,000";"	";"	";"30.00";"14.00";"35.00";"";"";"Botina Couro Nobuck Premier Marluvas - 75BPR26 CLI CNG. Compre online os melhores calçados de segurança, Botas, Botinas das marcas: Fujiwara, Bracol, Marluvas e outras. Temos a pronta entrega. Entregamos para todo o Brasil e dividimos em até 6X sem juros.";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"	75BPR26-CLICNG";"";"";"";"";"0";" <br>- Bota ocupacional em couro (nobuck). <br>- Indicada para profissionais de áreas administrativas. <br>- Biqueira de composite leve, antimagnética, anticorrosiva e ultrarresistente. <br>- Colarinho e lingueta acolchoados em cordura bicolor. <br>- Fechamento em cadarço, com ganchos passadores em nylon rígido, livre de metais. <br>- Forração interna em tecnologia climatech (forro 3D com recobrimento em microcápsulas PCM outlast - <br>de rápida dispersão de umidade e regulação de temperatura), que se adapta ao nível de performance do <br>- Palmilha de montagem têxtil resistente à perfuração, que cobre 100% da planta dos pés. <br>- Solado em PU bidensidade, com injeção direta no cabedal, que possibilita amortecimento e absorção <br>entressola e no calcanhar. <br>- Possui sistema em TPU ANTI-TORSION, para dar maior sustentação ao tornozelo, proporcionando estabi <br>terrenos irregulares e ao subir escadas, o que evita acidentes. <br> <br>C.A. 41829 <br> <br> <br> <br> <br>";"";"	";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"15917452528";"75BPR26-CLICNG-43	";"Tamanho:43";"UN";"";"0";"390,88";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"1.200,000";"1.200,000";"	";"	";"30.00";"14.00";"35.00";"";"";"Botina Couro Nobuck Premier Marluvas - 75BPR26 CLI CNG. Compre online os melhores calçados de segurança, Botas, Botinas das marcas: Fujiwara, Bracol, Marluvas e outras. Temos a pronta entrega. Entregamos para todo o Brasil e dividimos em até 6X sem juros.";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"	75BPR26-CLICNG";"";"";"";"";"0";" <br>- Bota ocupacional em couro (nobuck). <br>- Indicada para profissionais de áreas administrativas. <br>- Biqueira de composite leve, antimagnética, anticorrosiva e ultrarresistente. <br>- Colarinho e lingueta acolchoados em cordura bicolor. <br>- Fechamento em cadarço, com ganchos passadores em nylon rígido, livre de metais. <br>- Forração interna em tecnologia climatech (forro 3D com recobrimento em microcápsulas PCM outlast - <br>de rápida dispersão de umidade e regulação de temperatura), que se adapta ao nível de performance do <br>- Palmilha de montagem têxtil resistente à perfuração, que cobre 100% da planta dos pés. <br>- Solado em PU bidensidade, com injeção direta no cabedal, que possibilita amortecimento e absorção <br>entressola e no calcanhar. <br>- Possui sistema em TPU ANTI-TORSION, para dar maior sustentação ao tornozelo, proporcionando estabi <br>terrenos irregulares e ao subir escadas, o que evita acidentes. <br> <br>C.A. 41829 <br> <br> <br> <br> <br>";"";"	";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"15917452534";"75BPR26-CLICNG-44	";"Tamanho:44";"UN";"";"0";"390,88";"0,00";"";"Ativo";"4,00";"0,00";"	";"";"";"0,00";"0,00";"1.200,000";"1.200,000";"	";"	";"30.00";"14.00";"35.00";"";"";"Botina Couro Nobuck Premier Marluvas - 75BPR26 CLI CNG. Compre online os melhores calçados de segurança, Botas, Botinas das marcas: Fujiwara, Bracol, Marluvas e outras. Temos a pronta entrega. Entregamos para todo o Brasil e dividimos em até 6X sem juros.";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"	75BPR26-CLICNG";"";"";"";"";"0";" <br>- Bota ocupacional em couro (nobuck). <br>- Indicada para profissionais de áreas administrativas. <br>- Biqueira de composite leve, antimagnética, anticorrosiva e ultrarresistente. <br>- Colarinho e lingueta acolchoados em cordura bicolor. <br>- Fechamento em cadarço, com ganchos passadores em nylon rígido, livre de metais. <br>- Forração interna em tecnologia climatech (forro 3D com recobrimento em microcápsulas PCM outlast - <br>de rápida dispersão de umidade e regulação de temperatura), que se adapta ao nível de performance do <br>- Palmilha de montagem têxtil resistente à perfuração, que cobre 100% da planta dos pés. <br>- Solado em PU bidensidade, com injeção direta no cabedal, que possibilita amortecimento e absorção <br>entressola e no calcanhar. <br>- Possui sistema em TPU ANTI-TORSION, para dar maior sustentação ao tornozelo, proporcionando estabi <br>terrenos irregulares e ao subir escadas, o que evita acidentes. <br> <br>C.A. 41829 <br> <br> <br> <br> <br>";"";"	";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
